V1	V2	V3	V4
D22	26	8239	0.0695472751547518
D22	27	8108	0.0690675875678342
D22	28	9984	0.0725160256410256
D22	31	10348	0.0762949362195593
D22	CX-29	9538	0.0730761165862864
D22	DF-5	4905	0.0615698267074414
D22	DFDC-11	10292	0.0750582977069569
D22	DFDC-13	9163	0.0720833788060679
D22	DFDC-14	9916	0.0738705123033481
D22	DFDC-19	9885	0.074051593323217
D22	Q-14	8207	0.0667722675764591
D22	Q-19	7438	0.0654745899435332
D22	Q-20	4423	0.0627402215690708
D22	Q-30	9026	0.0667516064701972
D22	Q-6	9251	0.0692357582964004
D22	H-22	426	0.0305164319248826
D22	H-25	589	0.0407470288624788
D22	H-26	448	0.0491071428571429
D22	HDC-3	516	0.0416666666666667
D22	HDC-4	534	0.0421348314606742
D22	HM2	1712	0.161507009345794
D22	HM3	2011	0.17105917454003
D22	HM4	1729	0.173510699826489
D22	HM5	3197	0.174695026587426
D22	HM6	3246	0.171595810227973
JJ0030	JJC44	39632	0.105028764634639
JJ0030	108	27654	0.0844362479207348
JJ0030	JJ-109	28247	0.0844514461712748
JJ0030	JJ-35	25637	0.0788508795880953
JJ0030	JJ-71	31653	0.0865478785581145
JJ0030	JJ-92	14032	0.0732967502850627
JJ0030	JJ-103	36744	0.0958659917265404
JJ0030	JJ-52	37611	0.0977639520353088
JJ0030	JJ-97	37851	0.0988877440490344
JJ0030	JJC-73	34598	0.0939649690733568
JJ0030	117	7770	0.0625482625482626
JJ0030	LCG09-2	6448	0.0600961538461538
JJ0030	LCG09-3	6617	0.0579567779960707
JJ0030	LCG09-4	6380	0.0594827586206897
JJ0030	LCG09-5	6291	0.063106024479415
JJ0030	XH-13	23976	0.0777444110777444
JJ0030	XHDC-2	25814	0.0782133725885179
JJ0030	XHDC-5	12275	0.0721792260692464
JJ0030	XHDC-6	19989	0.0763670018510181
JJ0030	XHDC-7	22941	0.0773287999651279
JJ0030	FQ-10	9880	0.0651315789473684
JJ0030	FQ-14	6555	0.0661327231121281
JJ0030	FQ-26	14211	0.0706846808810077
JJ0030	FQ-27	12888	0.0673882681564246
JJ0030	FQ-6	12284	0.0718007163790296
JJ0030	26	23906	0.0798335145988455
JJ0030	27	23183	0.0788508821118923
JJ0030	28	30316	0.0850540968465497
JJ0030	31	31766	0.0880501164767361
JJ0030	CX-29	28093	0.0831701847435304
JJ0030	DF-5	12177	0.0750184774575018
JJ0030	DFDC-11	31100	0.0860128617363344
JJ0030	DFDC-13	26406	0.0840528667727032
